school;cellid;Cell_Code
EOS;17429;068B11
EOS;17430;068B12
EOS;17431;068B13
EOS;2085;263B11
EOS;2086;263B12
EOS;2087;263B13
EOS;4901;274B11
EOS;4902;274B12
EOS;4903;274B13
EOS;53269;208B11
EOS;57110;223B12
EOS;57111;223B13
EOS;57367;224B13
EOS;58901;230B11
EOS;58902;230B12
EOS;58903;230B13
EOS;44960;32274B11
EOS;44961;32274B12
EOS;57940;30073B11
EOS;57941;30073B12
EOS;62699;30568B11
EOS;64448;30072B11
EOS;64884;30093B11
EOS;64885;30093B12
EOS;64886;30093B13
EOS;65073;30066B12
EOS;65074;30066B13
EOS;65253;30790B11
EOS;65254;30790B12
EOS;65255;30790B13
EOS;17067776;40093B17
EOS;17067777;40093B18
EOS;17067778;40093B19
EOS;17067782;40093B11
EOS;17067783;40093B12
EOS;17067784;40093B13
EOS;17178113;40066B18
EOS;17178114;40066B19
EOS;17178119;40066B12
EOS;17178120;40066B13
EOS;17178626;40119B19
EOS;17183488;40073B17
EOS;17183489;40073B18
EOS;17183494;40073B11
EOS;17183495;40073B12
EOS;17183496;40073B13
EOS;17200640;40790B17
EOS;17200641;40790B18
EOS;17200642;40790B19
EOS;17200646;40790B11
EOS;17200647;40790B12
EOS;17200648;40790B13
EOS;17205760;42274B17
EOS;17205761;42274B18
EOS;17205766;42274B11
EOS;17205767;42274B12
EOS;17205768;42274B13
RPacis;11454;439B11
RPacis;11456;439B13
RPacis;2061;127B11
RPacis;2062;127B12
RPacis;2063;127B13
RPacis;32277;126B11
RPacis;32278;126B12
RPacis;32279;126B13
RPacis;33815;132B13
RPacis;41534;162F12
RPacis;35178;32439B11
RPacis;35180;32439B13
RPacis;59042;30365B11
RPacis;59043;30365B12
RPacis;59044;30365B13
RPacis;60313;30796B11
RPacis;60314;30796B12
RPacis;64474;30366B13
RPacis;65190;30431F12
RPacis;17108482;40366B19
RPacis;17108488;40366B13
RPacis;17271297;40796B18
RPacis;17271302;40796B11
RPacis;17271303;40796B12
RPacis;17670144;40365B17
RPacis;17670145;40365B18
RPacis;17670146;40365B19
RPacis;17670150;40365B11
RPacis;17670151;40365B12
RPacis;17670152;40365B13
RPacis;17963264;42439B17
RPacis;17963270;42439B11
SaintJoseph;11448;245B11
SaintJoseph;11450;245B13
SaintJoseph;1782;494B13
SaintJoseph;49174;192B12
SaintJoseph;49175;192B13
SaintJoseph;60181;235B11
SaintJoseph;60182;235B12
SaintJoseph;48007;30825B11
SaintJoseph;48009;30825B13
SaintJoseph;58103;30935B11
SaintJoseph;58104;30935B12
SaintJoseph;58105;30935B13
SaintJoseph;59067;30550B11
SaintJoseph;59068;30550B12
SaintJoseph;59069;30550B13
SaintJoseph;59351;30621B12
SaintJoseph;59352;30621B13
SaintJoseph;60572;30558B11
SaintJoseph;17152001;40935B18
SaintJoseph;17152002;40935B19
SaintJoseph;17152006;40935B11
SaintJoseph;17152007;40935B12
SaintJoseph;17152008;40935B13
SaintJoseph;17187328;40550B17
SaintJoseph;17187329;40550B18
SaintJoseph;17187334;40550B11
SaintJoseph;17187335;40550B12
SaintJoseph;17926657;40621B18
SaintJoseph;17926658;40621B19
SaintJoseph;17926663;40621B12
SaintJoseph;17926664;40621B13